ligne defense,objectif,question;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès à votre entreprise est-elle une voie publique ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès a-t-elle un bitumage en bon état ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès est-elle une voie à double sens ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès est-elle sous vidéo surveillance publique ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès est-elle une ligne droite ? Si non veuillez décliner son allure*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès est-elle au profit de patrouilles de sécurité publiques ou privées ? Veuillez définir la fréquence*.;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès bénéficie-t-elle d’un éclairage adéquat ?;
"LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,""La voie d’accès dispose-t-elle de ralentisseurs (dos d’âne, limitation de vitesse etc.) ?""";
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès bénéficie-t-elle d’une bouche d’incendie fonctionnelle ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès principale subit-elle une grande affluence des usagers les jours ouvrables ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Cette affluence a-t-elle lieu dans la matinée ? Veillez préciser l’intervalle d’heure si possible*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Cette affluence a-t-elle lieu dans l’après-midi ? Veillez préciser l’intervalle d’heure si possible*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Cette affluence a-t-elle lieu dans la soirée ? Veillez préciser l’intervalle d’heure si possible*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès principale subit-elle une grande affluence des usagers les jours fériés ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Cette affluence a-t-elle lieu dans la matinée ? Veillez préciser l’intervalle d’heure si possible*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Cette affluence a-t-elle lieu dans l’après-midi ? Veillez préciser l’intervalle d’heure si possible*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Cette affluence a-t-elle lieu dans la soirée ? Veillez préciser l’intervalle d’heure si possible*;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La voie d’accès subit-elle régulièrement des embouteillages de véhicules ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Les environs de votre entreprise sont-ils sujets à des occupations anarchiques (dépôts de déchets domestiques ; baraques etc.) ?
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Il y a-t-il dans les environs de l’entreprise un concurrent ?;
"LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,""Il y a-t-il dans les environs de l’entreprise installations dans lesquelles sont manipulés des produits dangereux (stations-service, dépôt de gaz etc.) ?""";
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Les environs de l’entreprise sont-ils sujets à des nuisances sonores et/ou lumineuses ?;
"LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,""Les environs de l’entreprise comprennent-ils des arbres ou autres facteurs susceptibles de faciliter les accès illégaux ? Si « oui », indiquez les mesures prises pour prévenir l’intrusion à ces endroits*.""";
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,Il y a-t-il des poteaux électriques fonctionnels aux alentours de l’entreprise ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,L’entreprise est-elle positionnée à une intersection ?;
LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,La peinture de l’entreprise permet-elle une visibilité claire et une reconnaissance de l’entreprise ?;
"LA PERIPHERIE,DIAGNOSTIQUE SECURITAIRE DE LA VOIE D’ACCES,""A-t-on mis des indications dans les environs de l’entreprise qui indique clairement sa position (pancarte, totem etc.) ?""";
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,Le périmètre de votre entreprise est-il clôturé ? indiquez le matériau utilisé pour la clôture*.;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,La clôture de votre entreprise atteint-elle 2m40 au moins ?;
"LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,""Votre clôture comprend elle un dispositif anti-intrusion (barbelé anti-intrusion, alarme anti-intrusion etc.) ?""";
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,Votre clôture a-t-elle déjà été forcée par des tiers ?;
"LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,""Des agents de sécurité patrouillent-ils, de jour comme de nuit, le périmètre de la clôture ?""";
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,Les patrouilleurs sont-ils soumis à un contrôle d’effectivité de leurs opérations de patrouille ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,La clôture est-elle éclairée ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,La clôture de votre entreprise dispose-t-elle de caméras de surveillance fonctionnelles ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA CLOTURE,Les caméras de vidéosurveillance de la clôture fonctionnent-elles 24H/24 ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,Les installations de l’entreprise sont-ils sous vidéos surveillance ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,Les caméras de vidéosurveillance fonctionnent-elles 24H/24 ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,Les installations de l’entreprise sont-elles éclairées ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,Des agents de sécurité surveillent-ils les installations de l’entreprise ?;
"LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,""Il y a-t-il dans l’entreprise des défauts, des dégradations de sa structure physique ?""";
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,Le matériau de construction de l’entreprise est-il résistant ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,Il y a-t-il des poteaux électriques fonctionnels aux alentours de l’entreprise ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,L’entreprise est-elle positionnée à une intersection ?;
LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,La peinture de l’entreprise permet-elle une visibilité claire et une reconnaissance de l’entreprise ?;
"LE PERIMETRE,DIAGNOSTIQUE SECURITAIRE DE LA STRCUTURE DE L’ENTREPRISE,""A-t-on mis des indications dans les environs de l’entreprise qui indique clairement sa position (pancarte, totem etc.) ?""";
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée principale dispose-t-elle d’un portail ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le portail ferme-t-il à clé/ de façon biométrique ? Préciser qui garde la clé/ le badge d’accès.;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée principale est-elle surveillée par des agents de sécurité ?;
